==========================================
SLURM_JOB_ID = 2410593
SLURM_NODELIST = gnode106
SLURM_JOB_GPUS = 1
==========================================
/var/spool/slurmd/job2410593/slurm_script: line 10: activate: No such file or directory

video 1/1721 (1/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 26.9ms
video 25/1721 (847/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (848/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (849/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (850/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (851/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (852/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (853/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 license, 24.4ms
video 25/1721 (854/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 license, 24.6ms
video 25/1721 (855/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (856/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (857/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (858/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (859/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 license, 24.4ms
video 25/1721 (860/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 license, 24.6ms
video 25/1721 (861/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (862/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (863/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (864/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (865/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (866/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (867/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (868/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (869/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (870/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (871/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (872/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (873/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 license, 24.4ms
video 25/1721 (874/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 license, 24.3ms
video 25/1721 (875/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (876/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (877/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (878/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (879/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (880/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (881/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (882/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (883/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (884/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (885/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (886/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (887/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (888/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (889/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (890/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (891/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (892/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (893/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (894/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (895/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (896/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (897/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (898/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (899/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (900/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (901/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (902/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (903/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (904/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (905/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (906/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (907/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (908/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (909/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (910/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (911/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.7ms
video 25/1721 (912/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
video 25/1721 (913/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.6ms
video 25/1721 (914/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
video 25/1721 (915/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (916/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (917/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.5ms
video 25/1721 (918/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.6ms
video 25/1721 (919/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (920/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (921/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
video 25/1721 (922/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.6ms
video 25/1721 (923/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
video 25/1721 (924/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.3ms
video 25/1721 (925/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (926/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (927/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (928/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (929/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (930/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (931/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.7ms
video 25/1721 (932/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (933/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (934/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (935/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (936/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (937/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (938/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (939/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (940/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (941/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (942/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (943/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (944/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (945/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (946/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
video 25/1721 (947/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.6ms
video 25/1721 (948/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (949/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (950/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (951/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (952/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (953/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.7ms
video 25/1721 (954/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
video 25/1721 (955/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (956/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (957/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (958/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (959/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (960/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (961/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
video 25/1721 (962/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
video 25/1721 (963/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (964/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (965/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (966/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (967/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (968/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (969/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (970/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (971/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (972/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (973/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (974/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (975/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (976/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (977/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (978/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (979/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (980/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (981/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (982/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (983/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (984/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (985/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (986/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (987/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (988/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (989/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.5ms
video 25/1721 (990/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (991/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
video 25/1721 (992/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.6ms
video 25/1721 (993/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.3ms
video 25/1721 (994/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.5ms
video 25/1721 (995/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
video 25/1721 (996/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.3ms
video 25/1721 (997/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.5ms
video 25/1721 (998/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.3ms
video 25/1721 (999/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.6ms
video 25/1721 (1000/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.3ms
video 25/1721 (1001/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (1002/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (1003/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (1004/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (1005/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.7ms
video 25/1721 (1006/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 (no detections), 24.4ms
video 25/1721 (1007/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.7ms
video 25/1721 (1008/1011) /scratch/mukil/dipx/common/aria_common/03e96ff0-a12e-42f1-a07e-4ddb7295e7de.mp4: 1088x1088 1 face, 24.4ms
